(QMiniFeldspar With CSE),HC,HR,CC,CR,,(MiniFeldspar With CSE),HC,HR,CC,CR
IPGray,16.21,0.12,0.07,0.47,,IPGray,14.77,0.00,0.08,0.50
IPBW,14.70,0.05,0.07,0.20,,IPBW,13.79,0.00,0.07,0.20
FFT,16.31,4.83,0.09,5.77,,FFT,15.79,0.37,0.10,5.85
CRC,15.66,0.15,0.07,0.15,,CRC,14.06,0.00,0.07,0.15
Windowing,14.60,0.25,0.08,0.32,,Windowing,13.28,0.00,0.08,0.32
(QMiniFeldspar Without CSE),HC,HR,CC,CR,,(MiniFeldspar Without CSE),HC,HR,CC,CR
IPGray,15.90,0.11,0.08,0.47,,IPGray,14.41,0.00,0.08,0.47
IPBW,15.12,0.05,0.07,0.20,,IPBW,14.42,0.00,0.08,0.20
FFT,17.61,5.15,0.10,6.00,,FFT,13.70,146.42,0.12,--
CRC,15.59,0.15,0.07,0.15,,CRC,13.99,0.21,0.08,0.16
Windowing,14.89,0.25,0.08,0.32,,Windowing,13.37,0.00,0.08,0.33
