(QMiniFeldspar With CSE),HC,HR,CC,CR,,(MiniFeldspar With CSE),HC,HR,CC,CR
IPGray,16.36,0.03,0.06,0.39,,IPGray,15.10,0.00,0.08,0.39
IPBW,16.34,0.02,0.06,0.19,,IPBW,15.16,0.00,0.06,0.19
FFT,16.39,0.71,0.07,2.93,,FFT,15.13,0.07,0.07,2.93
CRC,16.14,0.05,0.06,0.12,,CRC,15.13,0.00,0.07,0.12
Windowing,16.22,0.08,0.06,0.25,,Windowing,15.06,0.00,0.06,0.25
(QMiniFeldspar Without CSE),HC,HR,CC,CR,,(MiniFeldspar Without CSE),HC,HR,CC,CR
IPGray,--,--,--,--,,IPGray,--,--,--,--
IPBW,--,--,--,--,,IPBW,--,--,--,--
FFT,--,--,--,--,,FFT,--,--,--,--
CRC,--,--,--,--,,CRC,--,--,--,--
Windowing,--,--,--,--,,Windowing,--,--,--,--
